id,interval,flow
1_W_SL,0,10.25
1_W_SL,1,11.75
1_W_SL,2,12.25
1_W_SL,3,13.0
1_W_SL,4,11.25
1_N_SL,0,8.5
1_N_SL,1,8.0
1_N_SL,2,5.5
1_N_SL,3,6.5
1_N_SL,4,7.0
1_E_SL,0,21.0
1_E_SL,1,15.5
1_E_SL,2,20.0
1_E_SL,3,17.5
1_E_SL,4,18.25
1_S_SL,0,5.75
1_S_SL,1,5.0
1_S_SL,2,4.75
1_S_SL,3,5.25
1_S_SL,4,3.25
2_W_SL,0,16.25
2_W_SL,1,17.0
2_W_SL,2,15.0
2_W_SL,3,18.5
2_W_SL,4,14.75
2_E_SL,0,6.5
2_E_SL,1,5.75
2_E_SL,2,9.5
2_E_SL,3,7.25
2_E_SL,4,10.0
2_S_SL,0,6.333333333333333
2_S_SL,1,13.0
2_S_SL,2,8.666666666666666
2_S_SL,3,7.666666666666667
2_S_SL,4,10.666666666666666
3_W_SL,0,11.8
3_W_SL,1,12.4
3_W_SL,2,11.0
3_W_SL,3,12.4
3_W_SL,4,13.6
3_N_SL,0,5.0
3_N_SL,1,4.0
3_N_SL,2,5.0
3_N_SL,3,4.333333333333333
3_N_SL,4,4.0
3_E_SL,0,9.0
3_E_SL,1,7.4
3_E_SL,2,10.6
3_E_SL,3,12.0
3_E_SL,4,11.0
3_S_SL,0,7.0
3_S_SL,1,5.0
3_S_SL,2,8.0
3_S_SL,3,7.0
3_S_SL,4,7.5
