Scenario,Scenario_Display,Algorithm,Run,Local_Parameter_Index,Global_Parameter_Index,Parameter_Type,cNDI,Within_Niche_Variance,Num_Pareto,K_eff
Malaria,Rural malaria transmission,NSGA-Full,0,0,0,Redundant,1.0743001076992993,0.0961767267835605,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,1,1,Redundant,0.84729643890824,0.05982593794888207,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,2,2,Redundant,1.1149618769393532,0.10359499891901043,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,3,3,Representative,0.5361480536572629,0.023954561286705943,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,4,4,Redundant,1.0692790267063852,0.09527980307951288,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,5,5,Redundant,0.8013008072429763,0.05350691530735379,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,6,6,Redundant,0.7930405450593643,0.05240944217567113,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,7,7,Redundant,0.7114707864911615,0.042182556669195986,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,8,8,Representative,0.3246578789617557,0.0087835615309955,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,9,9,Redundant,0.7602224146893004,0.04816150998300255,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,10,10,Redundant,0.5762767009411933,0.027674569670638798,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,11,11,Representative,0.9817109006832485,0.08031302437669291,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,12,12,Redundant,0.7876405206317564,0.05169813247842201,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,13,13,Redundant,0.39302312682282714,0.012872264851466005,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,14,14,Representative,0.8349254269075354,0.05809170570806085,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,15,15,Redundant,0.6781639871234707,0.03832553278593358,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,16,16,Redundant,0.618805991678212,0.031910071278071286,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,17,17,Redundant,0.49343655494941674,0.020289969480029063,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,18,18,Redundant,1.2007176994012936,0.12014358280462795,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,19,19,Representative,1.3400323888003378,0.14964056691949498,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,20,20,Redundant,0.3889142975796276,0.012604527571821261,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,21,21,Redundant,0.9101767382851252,0.06903514124294578,9,1
Malaria,Rural malaria transmission,NSGA-Full,0,22,22,Redundant,0.8470507296084911,0.0597912448775231,9,1
Malaria,Rural malaria transmission,NSGA-Full,1,0,0,Redundant,1.17936556073337,0.115908593820328,5,1
Malaria,Rural malaria transmission,NSGA-Full,1,1,1,Redundant,0.36796149648890664,0.011282971908196306,5,1
Malaria,Rural malaria transmission,NSGA-Full,1,2,2,Redundant,1.2158918669839656,0.12319941934981278,5,1
