Scenario,Scenario_Display,Algorithm,Run,Num_Pareto,Num_Objectives,n_min,K_eff,Num_Parameters_In_File,Is_Full_Dim_File
Malaria,Rural malaria transmission,NSGA-Full,0,9,2,5,1,23,True
Malaria,Rural malaria transmission,NSGA-Full,1,5,2,5,1,23,True
Malaria,Rural malaria transmission,NSGA-Full,2,10,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Full,3,12,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Full,4,7,2,5,1,23,True
Malaria,Rural malaria transmission,NSGA-Full,5,12,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Full,6,6,2,5,1,23,True
Malaria,Rural malaria transmission,NSGA-Full,7,10,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Full,8,13,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Full,9,11,2,5,2,23,True
Malaria,Rural malaria transmission,MOBO-Full,0,6,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,1,5,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,2,10,2,5,2,23,True
Malaria,Rural malaria transmission,MOBO-Full,3,8,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,4,6,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,5,8,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,6,3,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,7,8,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,8,3,2,5,1,23,True
Malaria,Rural malaria transmission,MOBO-Full,9,10,2,5,2,23,True
Malaria,Rural malaria transmission,NSGA-Reduced,0,6,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,1,8,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,2,9,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,3,5,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,4,7,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,5,9,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,6,4,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,7,6,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,8,5,2,5,1,5,False
Malaria,Rural malaria transmission,NSGA-Reduced,9,8,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,0,5,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,1,7,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,2,9,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,3,3,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,4,5,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,5,5,2,5,1,5,False
Malaria,Rural malaria transmission,MOBO-Reduced,6,4,2,5,1,5,False
