Scenario,Scenario_Display,Algorithm,Parameter_Type,N,Median_cNDI,Mean_cNDI,Std_cNDI
Aircraft,Human-powered aircraft,MOBO-Full,Redundant,250,0.9190192667842241,0.8994126736446978,0.11824228398576032
Aircraft,Human-powered aircraft,MOBO-Full,Representative,25,0.45087853898767305,0.46848853472026625,0.12853055301594382
Aircraft,Human-powered aircraft,MOBO-Reduced,Representative,25,0.412223708018926,0.38784668282260804,0.1388307098155472
Aircraft,Human-powered aircraft,NSGA-Full,Redundant,250,0.8720598023891855,0.8673373785025852,0.13666573064942483
Aircraft,Human-powered aircraft,NSGA-Full,Representative,25,0.5981645399939353,0.5894565185899103,0.15323970065611384
Aircraft,Human-powered aircraft,NSGA-Reduced,Representative,25,0.23069902560826025,0.3737936558478909,0.3628615550588019
Aircraft,Human-powered aircraft,XLO-Reduced,Representative,25,0.4392324134995995,0.45843579647671745,0.17695711339029177
CitySim,Isolated urban junction,MOBO-Full,Redundant,240,0.9044426467637394,0.8593275015759038,0.192880265775947
CitySim,Isolated urban junction,MOBO-Full,Representative,50,0.40061351439171405,0.4258915385123578,0.26957064688550036
CitySim,Isolated urban junction,MOBO-Reduced,Representative,50,0.35536401662148603,0.41697221814105107,0.22146955666750068
CitySim,Isolated urban junction,NSGA-Full,Redundant,240,0.8160500172625698,0.8050726278232284,0.26256119513096826
CitySim,Isolated urban junction,NSGA-Full,Representative,50,0.3365665702077302,0.3992476882636046,0.19929887548477968
CitySim,Isolated urban junction,NSGA-Reduced,Representative,50,0.26169780296019524,0.3850936602144693,0.3150533949491655
CitySim,Isolated urban junction,XLO-Reduced,Representative,50,0.26795808108097624,0.33021526868163187,0.1789858889931063
Malaria,Rural malaria transmission,MOBO-Full,Redundant,180,0.869585858757222,0.8606779652734975,0.32440313001914584
Malaria,Rural malaria transmission,MOBO-Full,Representative,50,0.9021721723475724,0.8109677793916067,0.3327167446973372
Malaria,Rural malaria transmission,MOBO-Reduced,Representative,50,0.45372721707138675,0.5224342509499236,0.39222200927238915
Malaria,Rural malaria transmission,NSGA-Full,Redundant,180,0.8344606757442334,0.8374892264803745,0.2336733407351139
Malaria,Rural malaria transmission,NSGA-Full,Representative,50,0.6238709589791127,0.6683548258083841,0.27764727233774306
Malaria,Rural malaria transmission,NSGA-Reduced,Representative,50,0.07987475075121153,0.1427764760521809,0.16325154028942201
Malaria,Rural malaria transmission,XLO-Reduced,Representative,50,0.39314882247274846,0.5260343831804404,0.44049034046043584
Reactor,Coiled-tube reactor,MOBO-Full,Redundant,240,0.8886580362600005,0.8598376697087072,0.18723340092016674
Reactor,Coiled-tube reactor,MOBO-Full,Representative,10,0.3317790165986837,0.3054806491945453,0.20723739021569387
Reactor,Coiled-tube reactor,MOBO-Reduced,Representative,10,0.15167510992074146,0.18600822935338973,0.18142718942521258
Reactor,Coiled-tube reactor,NSGA-Full,Redundant,240,0.8237128589235317,0.8214129718586187,0.15786102556219705
Reactor,Coiled-tube reactor,NSGA-Full,Representative,10,0.401426395181387,0.4152651185156501,0.28719481223840254
Reactor,Coiled-tube reactor,NSGA-Reduced,Representative,10,0.4439843546203792,0.4912063925509226,0.4573705067677468
Reactor,Coiled-tube reactor,XLO-Reduced,Representative,10,0.12919508283637982,0.20369739571944095,0.19660027978196776
Songshanhu,Urban arterial corridor,MOBO-Full,Redundant,510,0.9277119296173915,0.9199267937527275,0.14823095120292265
Songshanhu,Urban arterial corridor,MOBO-Full,Representative,90,0.6262556418829728,0.616070094327283,0.24596614436160952
Songshanhu,Urban arterial corridor,MOBO-Reduced,Representative,90,0.5246951872988408,0.505512578191166,0.2587245443883992
Songshanhu,Urban arterial corridor,NSGA-Full,Redundant,510,0.9039399130351022,0.9066136600316496,0.16748598842434018
Songshanhu,Urban arterial corridor,NSGA-Full,Representative,90,0.727548856902831,0.7176082654119139,0.23642352796472968
Songshanhu,Urban arterial corridor,NSGA-Reduced,Representative,90,0.3370843165910885,0.38917623374670923,0.2623274977730616
Songshanhu,Urban arterial corridor,XLO-Reduced,Representative,90,0.4257250602601254,0.4263435324527141,0.24691332491441798
WFG3,WFG 3,MOBO-Full,Redundant,768,0.9998184664444552,0.9999540433237594,0.01130057950949379
WFG3,WFG 3,MOBO-Full,Representative,32,0.9311476955687474,0.7827816376473721,0.30840306005846596
WFG3,WFG 3,MOBO-Reduced,Representative,40,1.0954241053613023,0.8774224345066305,0.3956708390197622
WFG3,WFG 3,NSGA-Full,Redundant,960,0.9838952935629485,0.9830844737500387,0.03479800644921348
WFG3,WFG 3,NSGA-Full,Representative,40,0.786361300436198,0.7422872645190405,0.27205961282038654
WFG3,WFG 3,NSGA-Reduced,Representative,40,0.25548800116899295,0.5137683236854265,0.471679051760908
