startTime,eventDuration,SBL,SBT,WBL,WBT,NBL,NBT,EBL,EBT,index
0,17,g,g,r,r,r,r,r,r,0
17,5,y,g,r,r,r,r,r,r,1
22,3,r,g,r,r,r,r,r,r,2
25,21,r,g,r,r,r,g,r,r,3
46,5,r,y,r,r,r,g,r,r,4
51,2,r,r,r,r,r,g,r,r,5
53,29,r,r,r,r,g,g,r,r,6
82,5,r,r,r,r,y,y,r,r,7
87,3,r,r,r,r,r,r,r,r,8
90,22,r,r,g,g,r,r,r,r,9
112,4,r,r,y,g,r,r,r,r,10
116,4,r,r,r,g,r,r,r,r,11
120,18,r,r,r,g,r,r,r,g,12
138,4,r,r,r,y,r,r,r,g,13
142,3,r,r,r,r,r,r,r,g,14
145,30,r,r,r,r,r,r,g,g,15
175,5,r,r,r,r,r,r,y,y,16
180,3,r,r,r,r,r,r,r,r,17
183,18,g,g,r,r,r,r,r,r,0
201,5,y,g,r,r,r,r,r,r,1
206,4,r,g,r,r,r,r,r,r,2
210,20,r,g,r,r,r,g,r,r,3
230,5,r,y,r,r,r,g,r,r,4
235,2,r,r,r,r,r,g,r,r,5
237,30,r,r,r,r,g,g,r,r,6
267,5,r,r,r,r,y,y,r,r,7
272,3,r,r,r,r,r,r,r,r,8
275,11,r,r,g,g,r,r,r,r,9
286,4,r,r,y,g,r,r,r,r,10
290,4,r,r,r,g,r,r,r,r,11
294,6,r,r,r,g,r,r,r,g,12
300,4,r,r,r,y,r,r,r,g,13
304,3,r,r,r,r,r,r,r,g,14
307,53,r,r,r,r,r,r,g,g,15
360,5,r,r,r,r,r,r,y,y,16
365,3,r,r,r,r,r,r,r,r,17
368,12,g,g,r,r,r,r,r,r,0
380,5,y,g,r,r,r,r,r,r,1
385,4,r,g,r,r,r,r,r,r,2
389,26,r,g,r,r,r,g,r,r,3
415,5,r,y,r,r,r,g,r,r,4
420,2,r,r,r,r,r,g,r,r,5
422,30,r,r,r,r,g,g,r,r,6
452,5,r,r,r,r,y,y,r,r,7
457,3,r,r,r,r,r,r,r,r,8
460,13,r,r,g,g,r,r,r,r,9
473,4,r,r,y,g,r,r,r,r,10
477,4,r,r,r,g,r,r,r,r,11
481,25,r,r,r,g,r,r,r,g,12
506,4,r,r,r,y,r,r,r,g,13
510,3,r,r,r,r,r,r,r,g,14
513,32,r,r,r,r,r,r,g,g,15
545,5,r,r,r,r,r,r,y,y,16
550,3,r,r,r,r,r,r,r,r,17
553,7,g,g,r,r,r,r,r,r,0
560,5,y,g,r,r,r,r,r,r,1
565,4,r,g,r,r,r,r,r,r,2
569,32,r,g,r,r,r,g,r,r,3
601,5,r,y,r,r,r,g,r,r,4
606,2,r,r,r,r,r,g,r,r,5
608,30,r,r,r,r,g,g,r,r,6
638,5,r,r,r,r,y,y,r,r,7
643,3,r,r,r,r,r,r,r,r,8
646,13,r,r,g,g,r,r,r,r,9
659,4,r,r,y,g,r,r,r,r,10
663,4,r,r,r,g,r,r,r,r,11
667,25,r,r,r,g,r,r,r,g,12
692,4,r,r,r,y,r,r,r,g,13
696,3,r,r,r,r,r,r,r,g,14
699,31,r,r,r,r,r,r,g,g,15
730,5,r,r,r,r,r,r,y,y,16
735,3,r,r,r,r,r,r,r,r,17
738,6,g,g,r,r,r,r,r,r,0
744,5,y,g,r,r,r,r,r,r,1
749,4,r,g,r,r,r,r,r,r,2
753,24,r,g,r,r,r,g,r,r,3
777,5,r,y,r,r,r,g,r,r,4
782,2,r,r,r,r,r,g,r,r,5
784,37,r,r,r,r,g,g,r,r,6
821,5,r,r,r,r,y,y,r,r,7
826,3,r,r,r,r,r,r,r,r,8
829,23,r,r,g,g,r,r,r,r,9
852,4,r,r,y,g,r,r,r,r,10
856,4,r,r,r,g,r,r,r,r,11
860,15,r,r,r,g,r,r,r,g,12
875,4,r,r,r,y,r,r,r,g,13
879,3,r,r,r,r,r,r,r,g,14
882,18,r,r,r,r,r,r,g,g,15
