id,interval,flow
NBT,0,252.97297297297297
NBT,1,214.05405405405406
NBT,2,220.54054054054055
NBT,3,246.48648648648648
NBL,0,330.81081081081084
NBL,1,262.7027027027027
NBL,2,175.13513513513513
NBL,3,233.51351351351352
NO,0,531.8918918918919
NO,1,512.4324324324324
NO,2,389.18918918918916
NO,3,421.62162162162167
SBT,0,304.86486486486484
SBT,1,304.86486486486484
SBT,2,311.35135135135135
SBT,3,265.94594594594594
SBL,0,107.02702702702703
SBL,1,87.56756756756756
SBL,2,29.18918918918919
SBL,3,48.648648648648646
SO,0,467.02702702702703
SO,1,454.05405405405406
SO,2,538.3783783783784
SO,3,486.4864864864865
